2021-02-05 23:22:03.653290|INFO    |PktHandler    |1  |Dropping client 121 because of ping timeout 19 0 0
2021-02-05 23:25:49.033295|INFO    |PktHandler    |1  |Dropping client 122 because of ping timeout 19 0 0
2021-02-05 23:30:19.979716|INFO    |PktHandler    |1  |Cleaning up connection because of 9 resends of COMMAND packet
2021-02-05 23:30:19.979824|INFO    |PktHandler    |1  |Dropping client 123 because of resend timeout
2021-02-05 23:35:10.954803|INFO    |PktHandler    |1  |Dropping client 124 because of ping timeout 19 0 0
2021-02-06 00:20:18.412358|INFO    |PktHandler    |1  |Dropping client 126 because of ping timeout 19 0 0
2021-02-06 00:23:14.601005|INFO    |PktHandler    |1  |Cleaning up connection because of 9 resends of COMMAND packet
2021-02-06 00:23:14.601117|INFO    |PktHandler    |1  |Dropping client 127 because of resend timeout
2021-02-06 00:24:36.839003|INFO    |PktHandler    |1  |Dropping client 128 because of ping timeout 19 0 0
2021-02-06 00:40:44.443307|INFO    |PktHandler    |1  |Dropping client 129 because of ping timeout 19 0 0
2021-02-06 00:43:18.694971|INFO    |PktHandler    |1  |Dropping client 130 because of ping timeout 19 0 0
2021-02-06 00:55:48.955553|INFO    |PktHandler    |1  |Dropping client 131 because of ping timeout 19 0 0
2021-02-06 01:02:42.628255|INFO    |PktHandler    |1  |Dropping client 132 because of ping timeout 19 0 0
2021-02-06 02:01:32.513668|INFO    |PktHandler    |1  |Dropping client 133 because of ping timeout 19 0 0
2021-02-06 02:20:57.457780|INFO    |PktHandler    |1  |Dropping client 134 because of ping timeout 19 0 0
2021-02-06 02:28:33.201173|INFO    |PktHandler    |1  |Dropping client 135 because of ping timeout 19 0 0
2021-02-06 02:32:41.617914|INFO    |PktHandler    |1  |Dropping client 136 because of ping timeout 19 0 0
2021-02-06 02:41:42.506039|INFO    |PktHandler    |1  |Dropping client 137 because of ping timeout 19 0 0
2021-02-06 10:35:31.023630|INFO    |PktHandler    |1  |Dropping client 138 because of ping timeout 19 0 0
2021-02-06 10:42:46.748823|INFO    |PktHandler    |1  |Dropping client 140 because of ping timeout 19 0 0
2021-02-06 16:25:14.059012|INFO    |PktHandler    |1  |Cleaning up connection because of 2 resends of COMMAND packet
2021-02-06 16:25:14.059140|INFO    |PktHandler    |1  |Dropping client 149 because of resend timeout
2021-02-06 17:55:27.724753|INFO    |PktHandler    |1  |Dropping client 143 because of ping timeout 19 0 0
2021-02-06 18:14:47.858805|INFO    |PktHandler    |1  |Dropping client 155 because of ping timeout 19 0 0
2021-02-06 18:51:38.707490|INFO    |PktHandler    |1  |Dropping client 150 because of ping timeout 19 0 0
2021-02-06 18:51:42.718573|INFO    |PktHandler    |1  |Dropping client 156 because of ping timeout 19 0 0
2021-02-06 21:52:49.765602|INFO    |PktHandler    |1  |Dropping client 160 because of ping timeout 19 0 0
2021-02-08 19:39:42.431595|INFO    |PktHandler    |1  |Dropping client 184 because of ping timeout 19 0 0
2021-02-08 22:29:37.307035|INFO    |PktHandler    |1  |Dropping client 186 because of ping timeout 19 0 0
2021-02-09 04:02:57.789941|INFO    |PktHandler    |1  |Dropping client 182 because of ping timeout 19 0 0
2021-02-09 17:57:46.435500|INFO    |PktHandler    |1  |Dropping client 195 because of ping timeout 19 0 0
2021-02-09 22:54:18.418347|INFO    |PktHandler    |1  |Dropping client 199 because of ping timeout 19 0 0
2021-02-09 23:01:56.195386|INFO    |PktHandler    |1  |Dropping client 202 because of ping timeout 19 0 0
2021-02-09 23:01:56.195544|INFO    |PktHandler    |1  |Dropping client 201 because of ping timeout 19 0 0
2021-02-10 00:10:42.982000|INFO    |PktHandler    |1  |Dropping client 204 because of ping timeout 19 0 0
2021-02-10 19:09:24.850547|INFO    |PktHandler    |1  |Dropping client 208 because of ping timeout 19 0 0
2021-02-10 19:23:45.341765|INFO    |PktHandler    |1  |Dropping client 212 because of ping timeout 19 0 0
2021-02-10 19:29:26.955935|INFO    |PktHandler    |1  |Dropping client 206 because of ping timeout 19 0 0
2021-02-10 22:28:41.223262|INFO    |PktHandler    |1  |Dropping client 207 because of ping timeout 19 0 0
2021-02-10 22:31:47.574624|INFO    |PktHandler    |1  |Dropping client 218 because of ping timeout 19 0 0
2021-02-10 23:44:20.834138|INFO    |PktHandler    |1  |Dropping client 214 because of ping timeout 19 0 0
2021-02-11 14:50:40.276871|INFO    |PktHandler    |1  |Dropping client 221 because of ping timeout 19 0 0
