2020-11-17 12:48:51.345550|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.12.1 (2020-03-27 10:38:47)
2020-11-17 12:48:51.348248|INFO    |ServerLibPriv |   |SystemInformation: Linux 5.4.0-51-generic #56-Ubuntu SMP Mon Oct 5 14:28:49 UTC 2020 x86_64 Binary: 64bit
2020-11-17 12:48:51.348326|INFO    |ServerLibPriv |   |Using hardware aes
2020-11-17 12:48:51.349291|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2020-11-17 12:48:51.349534|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2020-11-17 12:48:51.351109|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2020-11-17 12:48:51.366724|INFO    |SQL           |   |database updated successfully to revision: 33
2020-11-17 12:48:51.369758|INFO    |DatabaseQuery |   |database busy, waiting for finishing index tasks, may take some time!
2020-11-17 12:49:31.397511|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-11-17 12:49:31.414999|INFO    |Accounting    |   |Licensing Information
2020-11-17 12:49:31.415396|INFO    |Accounting    |   |licensed to       : Anonymous
2020-11-17 12:49:31.415571|INFO    |Accounting    |   |type              : No License
2020-11-17 12:49:31.415747|INFO    |Accounting    |   |starting date     : Sat Feb  1 00:00:00 2020
2020-11-17 12:49:31.416046|INFO    |Accounting    |   |ending date       : Mon Feb  1 00:00:00 2021
2020-11-17 12:49:31.416272|INFO    |Accounting    |   |max virtualservers: 1
2020-11-17 12:49:31.416483|INFO    |Accounting    |   |max slots         : 32
2020-11-17 12:49:32.972133|INFO    |              |   |Puzzle precompute time: 1522
2020-11-17 12:49:32.977469|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2020-11-17 12:49:32.977659|INFO    |VirtualSvrMgr |   |executing monthly interval
2020-11-17 12:49:32.978191|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2020-11-17 12:49:33.024232|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-11-17 12:49:33.024509|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2020-11-17 12:49:33.205608|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2020-11-17 13:20:26.714751|ERROR   |FileHelp      |   |Error getting FileDateTime No such file or directory
2020-11-17 13:57:58.144283|INFO    |              |   |Error opening file "files/virtualserver_1/internal/avatar_cchdleadnhaeeeibclldpmnoeacjoajiaobdgimo": No such file or directory
2020-11-17 14:27:31.659225|ERROR   |FileHelp      |   |Error getting FileDateTime No such file or directory
2020-11-17 15:48:10.789452|ERROR   |FileHelp      |   |Error getting FileDateTime No such file or directory
2020-11-17 18:06:36.172103|ERROR   |FileHelp      |   |Error getting FileDateTime No such file or directory
2020-11-17 19:48:42.320475|ERROR   |FileHelp      |   |Error getting FileDateTime No such file or directory
2020-11-17 22:41:09.155444|INFO    |              |   |Error opening file "files/virtualserver_1/internal/avatar_cchdleadnhaeeeibclldpmnoeacjoajiaobdgimo": No such file or directory
2020-11-17 22:41:40.694916|INFO    |              |   |Error opening file "files/virtualserver_1/internal/avatar_cchdleadnhaeeeibclldpmnoeacjoajiaobdgimo": No such file or directory
