2020-11-17 12:49:33.022439|INFO    |VirtualServerBase|1  |listening on 0.0.0.0:9987, [::]:9987
2020-11-17 13:26:50.026547|INFO    |VirtualServer |1  |client (id:31) was added to servergroup 'ADMIN'(id:9) by client ''Nemesis'(id:6)
2020-11-17 15:48:16.645802|INFO    |PktHandler    |1  |Dropping client 4 because of ping timeout 19 0 0
2020-11-17 16:45:53.997418|INFO    |VirtualServer |1  |client (id:6) was removed from servergroup 'LEAGUE OF LEGENDS'(id:7) by client ''Nemesis'(id:6)
2020-11-17 16:45:57.103103|INFO    |VirtualServer |1  |client (id:6) was added to servergroup 'LEAGUE OF LEGENDS'(id:7) by client ''Nemesis'(id:6)
2020-11-17 16:46:28.656808|INFO    |VirtualServer |1  |client (id:6) was removed from servergroup 'BLACK DESERT'(id:12) by client ''Nemesis'(id:6)
2020-11-17 16:46:34.064481|INFO    |VirtualServer |1  |client (id:6) was removed from servergroup 'AION'(id:10) by client ''Nemesis'(id:6)
2020-11-17 18:38:35.819418|INFO    |VirtualServer |1  |client (id:33) was added to servergroup 'ADMIN'(id:9) by client ''Nemesis'(id:6)
2020-11-17 18:38:40.476161|INFO    |VirtualServer |1  |client (id:33) was added to servergroup 'AION'(id:10) by client ''Nemesis'(id:6)
2020-11-17 19:08:04.175146|INFO    |PktHandler    |1  |Dropping client 9 because of ping timeout 19 0 0
2020-11-17 19:16:31.965785|INFO    |PktHandler    |1  |Dropping client 12 because of ping timeout 19 0 0
2020-11-17 19:45:56.788791|INFO    |PktHandler    |1  |Dropping client 10 because of ping timeout 19 0 0
2020-11-17 22:41:55.939556|INFO    |VirtualServer |1  |client (id:9) was added to servergroup 'MODERATEUR'(id:17) by client ''Nemesis'(id:6)
2020-11-18 08:55:46.001590|INFO    |VirtualServer |1  |permission 'i_channel_needed_delete_power'(id:133) with values (value:95) was added by ''Nemesis'(id:6) to channel 'SALOUN'(id:37)
2020-11-18 08:55:46.002086|INFO    |VirtualServer |1  |permission 'i_channel_needed_join_power'(id:140) with values (value:95) was added by ''Nemesis'(id:6) to channel 'SALOUN'(id:37)
2020-11-18 08:55:46.002601|INFO    |VirtualServer |1  |permission 'i_channel_needed_subscribe_power'(id:142) with values (value:95) was added by ''Nemesis'(id:6) to channel 'SALOUN'(id:37)
2020-11-18 08:55:46.003055|INFO    |VirtualServer |1  |permission 'i_channel_needed_description_view_power'(id:144) with values (value:95) was added by ''Nemesis'(id:6) to channel 'SALOUN'(id:37)
2020-11-18 08:56:35.940959|INFO    |VirtualServer |1  |servergroup 'ADMIN'(id:9) was copied by ''Nemesis'(id:6) to ' '(id:18)
2020-11-18 08:56:46.383822|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) was deleted by ''Nemesis'(id:6) from servergroup ' '(id:18)
2020-11-18 08:56:55.401016|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:151) with values (value:30, negated:0, skipchannel:0) was added by ''Nemesis'(id:6) to servergroup ' '(id:18)
2020-11-18 08:57:02.961024|INFO    |VirtualServer |1  |permission 'i_group_sort_id'(id:151) with values (value:101, negated:0, skipchannel:0) was added by ''Nemesis'(id:6) to servergroup ' '(id:18)
2020-11-18 08:57:23.959494|INFO    |VirtualServer |1  |permission 'i_channel_subscribe_power'(id:141) with values (value:95, negated:0, skipchannel:0) was added by ''Nemesis'(id:6) to servergroup ' '(id:18)
2020-11-18 08:57:31.818087|INFO    |VirtualServer |1  |permission 'i_channel_join_power'(id:139) with values (value:95, negated:0, skipchannel:0) was added by ''Nemesis'(id:6) to servergroup ' '(id:18)
2020-11-18 08:58:15.835573|INFO    |VirtualServer |1  |permission 'i_channel_description_view_power'(id:143) with values (value:95, negated:0, skipchannel:0) was added by ''Nemesis'(id:6) to servergroup ' '(id:18)
2020-11-18 09:38:10.134630|INFO    |PktHandler    |1  |Dropping client 17 because of ping timeout 19 0 0
2020-11-18 14:02:27.214346|INFO    |VirtualServer |1  |client ''Nemesis'(id:6) was added to channelgroup 'Guest'(id:8) by client ''Nemesis'(id:6) in channel 'BLIND'(id:31)
2020-11-18 18:27:21.402068|INFO    |PktHandler    |1  |Dropping client 25 because of ping timeout 19 0 0
2020-11-18 20:33:37.290341|INFO    |VirtualServer |1  |client (id:37) was added to servergroup 'ADMIN'(id:9) by client ''Nemesis'(id:6)
2020-11-18 20:33:44.211359|INFO    |VirtualServer |1  |client (id:37) was added to servergroup 'AION'(id:10) by client ''Nemesis'(id:6)
