2020-12-04 11:15:14.956634|INFO    |VirtualServerBase|1  |listening on 0.0.0.0:9987, [::]:9987
2020-12-04 13:30:27.800181|INFO    |PktHandler    |1  |Dropping client 9 because of ping timeout 19 0 0
2020-12-04 16:59:17.577972|INFO    |PktHandler    |1  |Dropping client 14 because of ping timeout 19 0 0
2020-12-04 18:59:35.537227|INFO    |PktHandler    |1  |Dropping client 10 because of ping timeout 19 0 0
2020-12-04 19:09:59.502621|INFO    |PktHandler    |1  |Dropping client 22 because of ping timeout 19 0 0
2020-12-05 17:27:54.193999|INFO    |PktHandler    |1  |Cleaning up connection because of 11 resends of COMMAND packet
2020-12-05 17:27:54.195275|INFO    |PktHandler    |1  |Dropping client 41 because of resend timeout
2020-12-05 18:27:40.954166|INFO    |PktHandler    |1  |Dropping client 28 because of ping timeout 19 0 0
2020-12-05 19:35:21.477368|INFO    |PktHandler    |1  |Dropping client 45 because of ping timeout 19 0 0
2020-12-06 00:44:06.735953|INFO    |PktHandler    |1  |Dropping client 47 because of ping timeout 19 0 0
2020-12-06 00:48:16.103647|INFO    |PktHandler    |1  |Dropping client 50 because of ping timeout 19 0 0
2020-12-06 04:49:00.967083|INFO    |PktHandler    |1  |Dropping client 31 because of ping timeout 19 0 0
2020-12-06 12:42:30.947138|INFO    |PktHandler    |1  |Dropping client 54 because of ping timeout 19 0 0
2020-12-06 20:18:39.424248|INFO    |PktHandler    |1  |Dropping client 56 because of ping timeout 19 0 0
2020-12-06 20:18:41.432621|INFO    |PktHandler    |1  |Dropping client 64 because of ping timeout 19 0 0
2020-12-07 17:48:01.657852|INFO    |PktHandler    |1  |Dropping client 70 because of ping timeout 19 0 0
2020-12-07 21:14:45.542431|INFO    |PktHandler    |1  |Dropping client 67 because of ping timeout 19 0 0
2020-12-07 21:38:17.897777|INFO    |PktHandler    |1  |Dropping client 69 because of ping timeout 19 0 0
2020-12-07 22:13:13.370310|INFO    |PktHandler    |1  |Dropping client 78 because of ping timeout 19 0 0
2020-12-07 22:14:29.494480|INFO    |PktHandler    |1  |Dropping client 79 because of ping timeout 19 0 0
2020-12-07 22:56:26.591467|INFO    |PktHandler    |1  |Dropping client 76 because of ping timeout 19 0 0
2020-12-07 22:58:32.792089|INFO    |PktHandler    |1  |Dropping client 77 because of ping timeout 19 0 0
2020-12-08 11:28:16.838473|INFO    |PktHandler    |1  |Dropping client 82 because of ping timeout 19 0 0
2020-12-08 12:22:08.939211|INFO    |PktHandler    |1  |Dropping client 85 because of ping timeout 19 0 0
2020-12-08 13:02:24.834862|INFO    |PktHandler    |1  |Dropping client 86 because of ping timeout 19 0 0
2020-12-08 20:15:28.277165|INFO    |PktHandler    |1  |Cleaning up connection because of 5 resends of COMMAND packet
2020-12-08 20:15:28.277257|INFO    |PktHandler    |1  |Dropping client 93 because of resend timeout
2020-12-08 20:22:38.012638|INFO    |PktHandler    |1  |Dropping client 95 because of ping timeout 19 0 0
2020-12-08 20:46:39.859698|INFO    |PktHandler    |1  |Cleaning up connection because of 11 resends of COMMAND packet
2020-12-08 20:46:39.859796|INFO    |PktHandler    |1  |Dropping client 94 because of resend timeout
2020-12-08 20:55:29.489257|INFO    |PktHandler    |1  |Dropping client 87 because of ping timeout 19 0 0
2020-12-08 21:34:25.419370|INFO    |PktHandler    |1  |Dropping client 97 because of ping timeout 19 0 0
2020-12-08 21:39:30.933570|INFO    |PktHandler    |1  |Dropping client 100 because of ping timeout 19 0 0
2020-12-10 00:35:09.098231|INFO    |PktHandler    |1  |Dropping client 105 because of ping timeout 19 0 0
2020-12-10 16:47:35.353925|INFO    |PktHandler    |1  |Dropping client 121 because of ping timeout 19 0 0
2020-12-10 17:22:59.960352|INFO    |PktHandler    |1  |Dropping client 123 because of ping timeout 19 0 0
2020-12-10 18:36:24.278442|INFO    |VirtualServer |1  |client (id:6) was removed from servergroup 'PATH OF EXILE'(id:15) by client ''Nemesis'(id:6)
2020-12-10 18:36:27.691306|INFO    |VirtualServer |1  |client (id:6) was removed from servergroup 'DIABLO III'(id:11) by client ''Nemesis'(id:6)
2020-12-11 11:46:43.504557|INFO    |PktHandler    |1  |Dropping client 140 because of ping timeout 19 0 0
